alertNumber,status,disposition,ruleId,severity,securitySeverity,path,startLine,owner,notes,htmlUrl,lastSeenOpenAt
4,deferred,needs-review,js/polynomial-redos,warning,high,middleware/validation.js,127,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/4,2026-06-16T17:33:00.871Z
5,deferred,needs-review,js/incomplete-multi-character-sanitization,warning,high,middleware/validation.js,127,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/5,2026-06-16T17:33:00.871Z
6,deferred,needs-review,js/incomplete-sanitization,warning,high,client/build.config.js,217,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/6,2026-06-16T17:33:00.871Z
7,deferred,needs-review,js/incomplete-sanitization,warning,high,scripts/doctor-local.js,19,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/7,2026-06-16T17:33:00.871Z
8,deferred,needs-review,js/case-sensitive-middleware-path,warning,high,app.js,100,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/8,2026-06-16T17:33:00.871Z
9,deferred,needs-review,js/sensitive-get-query,warning,medium,controllers/doctorAccessController.js,39,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/9,2026-06-16T17:33:00.871Z
10,deferred,needs-review,js/sensitive-get-query,warning,medium,controllers/doctorAccessController.js,62,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/10,2026-06-16T17:33:00.871Z
11,deferred,needs-review,js/sensitive-get-query,warning,medium,controllers/doctorAccessController.js,85,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/11,2026-06-16T17:33:00.871Z
12,deferred,needs-review,js/sensitive-get-query,warning,medium,controllers/doctorAccessController.js,265,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/12,2026-06-16T17:33:00.871Z
13,deferred,needs-review,js/sensitive-get-query,warning,medium,middleware/healthDataAccess.js,24,,,https://github.com/vasantsinghraji-byte/NOCTURAL/security/code-scanning/13,2026-06-16T17:33:00.871Z
